Timestamp,Sensor_ID,Fog_Node_ID,Temperature,Pressure,Vibration,Is_Failure,Protocol,Connection_Duration,Flow_Rate,Bytes_Transferred,Packet_Size,Device_Role,Source_IP,Dest_IP,Label
2026-03-28 13:45:00,S0,F0,97.28473129934449,111.48970164188047,22.19244686081045,0,DNP3,0.39,1814.42,707,101,PLC,10.0.1.16,10.0.1.22,Normal
2026-03-28 13:45:10,S1,F1,82.60532734356836,92.1625300799602,38.67029793851738,0,MQTT,0.233,2063.28,480,160,Historian,10.0.1.15,10.0.1.28,Normal
2026-03-28 13:45:20,S2,F2,87.8660329550757,92.13770183295776,49.435335102868834,1,Modbus_TCP,0.008,30207.82,240,80,External,187.180.129.5,10.0.1.20,Malicious
2026-03-28 13:45:30,S3,F3,96.89997524709183,90.36325425704662,25.703229493511827,1,Modbus_TCP,0.017,9030.46,150,50,External,187.180.129.5,10.0.1.12,Malicious
2026-03-28 13:45:40,S4,F4,88.28954537253594,118.6950419489844,43.7778534886515,1,Modbus_TCP,0.049,2476.13,122,61,External,187.180.129.5,10.0.1.18,Malicious
2026-03-28 13:45:50,S5,F0,66.10156171657046,112.12525078377021,47.236963813388584,1,Modbus_TCP,0.014,9015.09,130,65,External,187.180.129.5,10.0.1.14,Malicious
2026-03-28 13:46:00,S6,F1,83.05153440667253,100.59754225506192,48.31104778460663,1,Modbus_TCP,0.034,4367.64,147,49,External,187.180.129.5,10.0.1.23,Malicious
2026-03-28 13:46:10,S7,F2,84.26860185531424,98.89606743862966,48.804068132163415,1,Modbus_TCP,0.038,3705.1,142,71,External,187.180.129.5,10.0.1.14,Malicious
2026-03-28 13:46:20,S8,F3,76.96522685209544,100.49109689237548,35.64378916164416,1,Modbus_TCP,0.04,7590.33,300,100,External,187.180.129.5,10.0.1.21,Malicious
2026-03-28 13:46:30,S9,F4,89.45776942498891,113.23960593543546,49.31923723974511,1,Modbus_TCP,0.003,67105.88,210,70,External,187.180.129.5,10.0.1.26,Malicious
2026-03-28 13:46:40,S10,F0,97.37468059076059,109.84111833211243,42.71930621403317,1,Modbus_TCP,0.021,9841.81,207,69,External,187.180.129.5,10.0.1.20,Malicious
2026-03-28 13:46:50,S11,F1,97.02274051627106,95.55586703602404,24.850143087108858,1,Modbus_TCP,0.016,15492.15,246,82,External,187.180.129.5,10.0.1.26,Malicious
2026-03-28 13:47:00,S12,F2,78.03357485616529,95.22328006002253,34.3070031940391,1,Modbus_TCP,0.034,6515.7,219,73,External,187.180.129.5,10.0.1.23,Malicious
